  
       XFOIL         Version 6.96
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.3172   0.10220   0.09553  -0.0249   1.0000   0.1971
  -9.250  -0.3132   0.09842   0.09180  -0.0242   1.0000   0.2036
  -9.000  -0.3191   0.09646   0.08992  -0.0239   1.0000   0.2120
  -8.750  -0.3121   0.09236   0.08585  -0.0228   1.0000   0.2195
  -8.500  -0.3236   0.09086   0.08447  -0.0222   1.0000   0.2269
  -8.250  -0.3159   0.08659   0.08023  -0.0210   1.0000   0.2338
  -8.000  -0.3296   0.08519   0.07897  -0.0195   1.0000   0.2411
  -7.750  -0.3235   0.08118   0.07500  -0.0180   1.0000   0.2487
  -7.500  -0.4116   0.09141   0.08489  -0.0209   1.0000   0.2429
  -7.250  -0.4000   0.08715   0.08064  -0.0174   1.0000   0.2543
  -7.000  -0.3951   0.08382   0.07737  -0.0164   1.0000   0.2636
  -6.750  -0.3924   0.08102   0.07462  -0.0161   1.0000   0.2768
  -6.500  -0.3883   0.07832   0.07198  -0.0151   1.0000   0.2948
  -6.250  -0.3867   0.07624   0.06996  -0.0176   1.0000   0.3152
  -6.000  -0.3798   0.07281   0.06654  -0.0142   1.0000   0.3319
  -5.750  -0.3729   0.06986   0.06362  -0.0122   1.0000   0.3503
  -5.500  -0.3673   0.06718   0.06098  -0.0115   1.0000   0.3756
  -5.250  -0.3621   0.06447   0.05832  -0.0082   1.0000   0.4055
  -5.000  -0.3568   0.06180   0.05568  -0.0050   1.0000   0.4364
  -4.500  -0.1719   0.03986   0.03168  -0.0687   1.0000   0.2095
  -4.250  -0.1231   0.03473   0.02556  -0.0762   1.0000   0.1985
  -4.000  -0.0973   0.03293   0.02364  -0.0767   1.0000   0.2065
  -3.750  -0.0621   0.03061   0.02073  -0.0792   1.0000   0.2117
  -3.500  -0.0300   0.02871   0.01843  -0.0808   1.0000   0.2161
  -3.250  -0.0006   0.02738   0.01681  -0.0815   1.0000   0.2250
  -3.000   0.0284   0.02640   0.01554  -0.0822   1.0000   0.2421
  -2.750   0.0576   0.02537   0.01439  -0.0828   1.0000   0.2585
  -2.500   0.0859   0.02451   0.01352  -0.0831   1.0000   0.2808
  -2.250   0.1133   0.02402   0.01310  -0.0832   1.0000   0.3212
  -2.000   0.1426   0.02342   0.01252  -0.0835   1.0000   0.3867
  -1.750   0.1719   0.02244   0.01205  -0.0838   1.0000   0.4909
  -1.500   0.1950   0.02068   0.01163  -0.0819   1.0000   0.7351
  -1.250   0.2070   0.02060   0.01129  -0.0799   1.0000   1.0000
  -1.000   0.2317   0.02115   0.01146  -0.0803   1.0000   1.0000
  -0.750   0.2549   0.02175   0.01179  -0.0804   1.0000   1.0000
  -0.500   0.2771   0.02241   0.01226  -0.0806   1.0000   1.0000
  -0.250   0.2988   0.02313   0.01285  -0.0807   1.0000   1.0000
   0.000   0.3197   0.02393   0.01353  -0.0808   1.0000   1.0000
   0.250   0.3401   0.02481   0.01432  -0.0810   1.0000   1.0000
