     0.0010   Re               ! Reynolds number in millions
   -180.00    0.000   0.1634   0.0000
   -170.00    0.311   0.2030   0.4000
   -160.00    0.622   0.3170   0.0479
   -150.00    0.603   0.4910   0.0960
   -140.00    0.591   0.7028   0.1432
   -130.00    0.546   0.9254   0.1918
   -120.00    0.458   1.1302   0.2387
   -110.00    0.329   1.2903   0.2791
   -100.00    0.171   1.3842   0.3082
    -90.00    0.000   1.3980   0.3221
    -80.00   -0.171   1.3842   0.3335
    -70.00   -0.329   1.2903   0.3287
    -60.00   -0.458   1.1302   0.3105
    -50.00   -0.546   0.9254   0.2834
    -40.00   -0.591   0.7028   0.2541
    -30.00   -0.603   0.4910   0.2329
    -20.00   -0.622   0.3170   0.2440
    -10.00   -0.236   0.1713  -0.0495
     -9.50   -0.230   0.1670  -0.0507
     -9.00   -0.225   0.1627  -0.0517
     -8.50   -0.221   0.1587  -0.0525
     -8.00   -0.216   0.1547  -0.0527
     -7.50   -0.211   0.1511  -0.0527
     -7.00   -0.206   0.1477  -0.0523
     -6.50   -0.201   0.1445  -0.0515
     -6.00   -0.195   0.1416  -0.0504
     -5.50   -0.189   0.1389  -0.0489
     -5.00   -0.183   0.1365  -0.0470
     -4.50   -0.177   0.1342  -0.0449
     -4.00   -0.170   0.1322  -0.0426
     -3.50   -0.163   0.1303  -0.0401
     -3.00   -0.155   0.1287  -0.0375
     -2.50   -0.145   0.1272  -0.0351
     -2.00   -0.133   0.1260  -0.0330
     -1.50   -0.118   0.1249  -0.0312
     -1.00   -0.100   0.1241  -0.0299
     -0.50   -0.078   0.1234  -0.0287
      0.00   -0.054   0.1230  -0.0280
      0.50   -0.029   0.1229  -0.0276
      1.00   -0.001   0.1230  -0.0274
      1.50    0.028   0.1234  -0.0274
      2.00    0.058   0.1240  -0.0277
      2.50    0.089   0.1249  -0.0282
      3.00    0.121   0.1260  -0.0288
      3.50    0.152   0.1274  -0.0296
      4.00    0.185   0.1290  -0.0304
      4.50    0.217   0.1308  -0.0314
      5.00    0.249   0.1328  -0.0325
      5.50    0.280   0.1351  -0.0338
      6.00    0.312   0.1377  -0.0351
      6.50    0.343   0.1404  -0.0366
      7.00    0.373   0.1434  -0.0381
      7.50    0.403   0.1467  -0.0398
      8.00    0.432   0.1502  -0.0416
      8.50    0.460   0.1539  -0.0436
      9.00    0.487   0.1580  -0.0457
      9.50    0.514   0.1623  -0.0479
     10.00    0.539   0.1668  -0.0502
     10.50    0.564   0.1716  -0.0528
     11.00    0.587   0.1767  -0.0556
     11.50    0.610   0.1821  -0.0586
     12.00    0.631   0.1879  -0.0617
     12.50    0.652   0.1939  -0.0651
     13.00    0.672   0.2003  -0.0687
     13.50    0.691   0.2069  -0.0724
     14.00    0.709   0.2139  -0.0763
     14.50    0.727   0.2211  -0.0804
     15.00    0.743   0.2287  -0.0846
     15.50    0.760   0.2365  -0.0890
     16.00    0.775   0.2445  -0.0934
     16.50    0.791   0.2528  -0.0979
     17.00    0.807   0.2616  -0.1022
     17.50    0.821   0.2703  -0.1069
     18.00    0.836   0.2792  -0.1115
     18.50    0.850   0.2883  -0.1162
     19.00    0.863   0.2977  -0.1208
     19.50    0.876   0.3073  -0.1254
     20.00    0.889   0.3170  -0.1299
     30.00    0.861   0.4910  -0.1868
     40.00    0.844   0.7028  -0.2346
     50.00    0.780   0.9254  -0.2777
     60.00    0.654   1.1302  -0.3151
     70.00    0.470   1.2903  -0.3450
     80.00    0.244   1.3842  -0.3660
     90.00    0.000   1.3980  -0.3769
    100.00   -0.171   1.3842  -0.3883
    110.00   -0.329   1.2903  -0.3835
    120.00   -0.458   1.1302  -0.3653
    130.00   -0.546   0.9254  -0.3382
    140.00   -0.591   0.7028  -0.3089
    150.00   -0.603   0.4910  -0.2877
    160.00   -0.622   0.3170  -0.2988
    170.00   -0.311   0.2030  -0.5000
    180.00    0.000   0.1634   0.0000
     0.0050   Re               ! Reynolds number in millions
   -180.00    0.000   0.1541   0.0000
   -170.00    0.362   0.1939   0.4000
   -160.00    0.724   0.3084   0.0657
   -150.00    0.661   0.4830   0.1095
   -140.00    0.626   0.6957   0.1526
   -130.00    0.567   0.9194   0.1983
   -120.00    0.469   1.1256   0.2431
   -110.00    0.334   1.2872   0.2823
   -100.00    0.172   1.3826   0.3107
    -90.00    0.000   1.3980   0.3244
    -80.00   -0.172   1.3826   0.3347
    -70.00   -0.334   1.2872   0.3294
    -60.00   -0.469   1.1256   0.3114
    -50.00   -0.567   0.9194   0.2860
    -40.00   -0.626   0.6957   0.2607
    -30.00   -0.661   0.4830   0.2474
    -20.00   -0.724   0.3084   0.2767
    -10.00   -0.368   0.1460  -0.0409
     -9.50   -0.363   0.1397  -0.0407
     -9.00   -0.357   0.1332  -0.0403
     -8.50   -0.354   0.1270  -0.0398
     -8.00   -0.355   0.1213  -0.0388
     -7.50   -0.368   0.1161  -0.0377
     -7.00   -0.358   0.1113  -0.0344
     -6.50   -0.354   0.1057  -0.0321
     -6.00   -0.364   0.1003  -0.0309
     -5.50   -0.357   0.0958  -0.0268
     -5.00   -0.361   0.0909  -0.0235
     -4.50   -0.246   0.0796  -0.0247
     -4.00   -0.203   0.0747  -0.0295
     -3.50   -0.149   0.0711  -0.0355
     -3.00   -0.130   0.0693  -0.0352
     -2.50   -0.112   0.0678  -0.0345
     -2.00   -0.100   0.0666  -0.0326
     -1.50   -0.102   0.0657  -0.0283
     -1.00   -0.104   0.0648  -0.0241
     -0.50   -0.102   0.0640  -0.0208
      0.00   -0.089   0.0635  -0.0193
      0.50   -0.065   0.0635  -0.0199
      1.00   -0.032   0.0640  -0.0223
      1.50    0.009   0.0650  -0.0259
      2.00    0.053   0.0664  -0.0301
      2.50    0.099   0.0682  -0.0346
      3.00    0.145   0.0704  -0.0392
      3.50    0.191   0.0729  -0.0436
      4.00    0.235   0.0756  -0.0478
      4.50    0.278   0.0786  -0.0517
      5.00    0.320   0.0819  -0.0554
      5.50    0.372   0.0862  -0.0613
      6.00    0.429   0.0911  -0.0682
      6.50    0.473   0.0956  -0.0728
      7.00    0.521   0.1006  -0.0781
      7.50    0.568   0.1058  -0.0832
      8.00    0.615   0.1118  -0.0884
      8.50    0.659   0.1176  -0.0929
      9.00    0.688   0.1229  -0.0956
      9.50    0.726   0.1289  -0.0990
     10.00    0.754   0.1351  -0.1018
     10.50    0.786   0.1416  -0.1044
     11.00    0.814   0.1486  -0.1070
     11.50    0.842   0.1561  -0.1094
     12.00    0.866   0.1631  -0.1109
     12.50    0.881   0.1704  -0.1128
     13.00    0.896   0.1770  -0.1138
     13.50    0.907   0.1850  -0.1161
     14.00    0.925   0.1928  -0.1175
     14.50    0.935   0.2013  -0.1200
     15.00    0.945   0.2097  -0.1224
     15.50    0.964   0.2188  -0.1238
     16.00    0.967   0.2277  -0.1277
     16.50    0.979   0.2371  -0.1305
     17.00    0.987   0.2455  -0.1330
     17.50    0.995   0.2551  -0.1362
     18.00    1.005   0.2663  -0.1396
     18.50    1.017   0.2777  -0.1423
     19.00    1.015   0.2857  -0.1457
     19.50    1.024   0.2960  -0.1475
     20.00    1.034   0.3084  -0.1497
     30.00    0.945   0.4830  -0.2003
     40.00    0.895   0.6957  -0.2423
     50.00    0.810   0.9194  -0.2812
     60.00    0.671   1.1256  -0.3157
     70.00    0.477   1.2872  -0.3439
     80.00    0.246   1.3826  -0.3641
     90.00    0.000   1.3980  -0.3746
    100.00   -0.172   1.3826  -0.3850
    110.00   -0.334   1.2872  -0.3797
    120.00   -0.469   1.1256  -0.3617
    130.00   -0.567   0.9194  -0.3362
    140.00   -0.626   0.6957  -0.3109
    150.00   -0.661   0.4830  -0.2977
    160.00   -0.724   0.3084  -0.3270
    170.00   -0.362   0.1939  -0.5000
    180.00    0.000   0.1541   0.0000
     0.0100   Re               ! Reynolds number in millions
   -180.00    0.000   0.1409   0.0000
   -170.00    0.372   0.1809   0.4000
   -160.00    0.745   0.2959   0.0457
   -150.00    0.674   0.4715   0.0911
   -140.00    0.634   0.6855   0.1343
   -130.00    0.572   0.9109   0.1800
   -120.00    0.472   1.1189   0.2253
   -110.00    0.335   1.2826   0.2653
   -100.00    0.172   1.3803   0.2949
    -90.00    0.000   1.3980   0.3099
    -80.00   -0.172   1.3803   0.3205
    -70.00   -0.335   1.2826   0.3155
    -60.00   -0.472   1.1189   0.2980
    -50.00   -0.572   0.9109   0.2734
    -40.00   -0.634   0.6855   0.2497
    -30.00   -0.674   0.4715   0.2394
    -20.00   -0.745   0.2959   0.2757
    -10.00   -0.365   0.1299  -0.0480
     -9.50   -0.373   0.1234  -0.0493
     -9.00   -0.384   0.1167  -0.0503
     -8.50   -0.399   0.1097  -0.0512
     -8.00   -0.410   0.1023  -0.0526
     -7.50   -0.417   0.0952  -0.0532
     -7.00   -0.425   0.0878  -0.0547
     -6.50   -0.426   0.0808  -0.0558
     -6.00   -0.419   0.0741  -0.0567
     -5.50   -0.403   0.0679  -0.0575
     -5.00   -0.378   0.0623  -0.0587
     -4.50   -0.355   0.0575  -0.0578
     -4.00   -0.338   0.0554  -0.0492
     -3.50   -0.319   0.0576  -0.0393
     -3.00   -0.324   0.0593  -0.0195
     -2.50   -0.301   0.0577  -0.0136
     -2.00   -0.265   0.0563  -0.0142
     -1.50   -0.228   0.0555  -0.0157
     -1.00   -0.160   0.0555  -0.0232
     -0.50   -0.089   0.0558  -0.0316
      0.00   -0.028   0.0561  -0.0373
      0.50    0.029   0.0566  -0.0420
      1.00    0.086   0.0573  -0.0464
      1.50    0.140   0.0579  -0.0502
      2.00    0.203   0.0591  -0.0558
      2.50    0.250   0.0604  -0.0593
      3.00    0.305   0.0621  -0.0643
      3.50    0.353   0.0636  -0.0681
      4.00    0.420   0.0665  -0.0754
      4.50    0.480   0.0699  -0.0819
      5.00    0.523   0.0731  -0.0856
      5.50    0.593   0.0767  -0.0921
      6.00    0.624   0.0803  -0.0939
      6.50    0.678   0.0843  -0.0980
      7.00    0.712   0.0881  -0.0995
      7.50    0.763   0.0925  -0.1028
      8.00    0.786   0.0967  -0.1029
      8.50    0.829   0.1013  -0.1047
      9.00    0.861   0.1058  -0.1053
      9.50    0.877   0.1105  -0.1047
     10.00    0.897   0.1158  -0.1049
     10.50    0.918   0.1206  -0.1045
     11.00    0.938   0.1258  -0.1044
     11.50    0.962   0.1312  -0.1043
     12.00    0.979   0.1362  -0.1036
     12.50    0.972   0.1456  -0.1067
     13.00    0.982   0.1522  -0.1074
     13.50    1.005   0.1599  -0.1081
     14.00    1.000   0.1692  -0.1120
     14.50    1.009   0.1780  -0.1145
     15.00    1.010   0.1892  -0.1194
     15.50    1.027   0.1969  -0.1207
     16.00    1.023   0.2071  -0.1262
     16.50    1.032   0.2179  -0.1300
     17.00    1.047   0.2289  -0.1324
     17.50    1.046   0.2404  -0.1381
     18.00    1.045   0.2505  -0.1431
     18.50    1.063   0.2599  -0.1435
     19.00    1.063   0.2722  -0.1485
     19.50    1.064   0.2841  -0.1529
     20.00    1.064   0.2959  -0.1568
     30.00    0.963   0.4715  -0.2102
     40.00    0.906   0.6855  -0.2526
     50.00    0.817   0.9109  -0.2917
     60.00    0.674   1.1189  -0.3267
     70.00    0.479   1.2826  -0.3558
     80.00    0.246   1.3803  -0.3772
     90.00    0.000   1.3980  -0.3891
    100.00   -0.172   1.3803  -0.3997
    110.00   -0.335   1.2826  -0.3947
    120.00   -0.472   1.1189  -0.3772
    130.00   -0.572   0.9109  -0.3527
    140.00   -0.634   0.6855  -0.3289
    150.00   -0.674   0.4715  -0.3186
    160.00   -0.745   0.2959  -0.3549
    170.00   -0.372   0.1809  -0.5000
    180.00    0.000   0.1409   0.0000
     0.0500   Re               ! Reynolds number in millions
   -180.00    0.000   0.1278   0.0000
   -170.00    0.391   0.1680   0.4000
   -160.00    0.782   0.2836  -0.0681
   -150.00    0.696   0.4602  -0.0079
   -140.00    0.647   0.6755   0.0402
   -130.00    0.580   0.9025   0.0890
   -120.00    0.476   1.1124   0.1375
   -110.00    0.337   1.2782   0.1815
   -100.00    0.173   1.3780   0.2159
    -90.00    0.000   1.3980   0.2360
    -80.00   -0.173   1.3780   0.2507
    -70.00   -0.337   1.2782   0.2497
    -60.00   -0.476   1.1124   0.2362
    -50.00   -0.580   0.9025   0.2160
    -40.00   -0.647   0.6755   0.1979
    -30.00   -0.696   0.4602   0.1972
    -20.00   -0.782   0.2836   0.2572
    -10.00   -0.353   0.1107  -0.0474
     -9.50   -0.361   0.1034  -0.0485
     -9.00   -0.374   0.0956  -0.0495
     -8.50   -0.395   0.0874  -0.0506
     -8.00   -0.417   0.0775  -0.0562
     -7.50   -0.414   0.0638  -0.0747
     -7.00   -0.387   0.0528  -0.0887
     -6.50   -0.337   0.0445  -0.0970
     -6.00   -0.283   0.0393  -0.1005
     -5.50   -0.230   0.0359  -0.0999
     -5.00   -0.180   0.0330  -0.0974
     -4.50   -0.125   0.0306  -0.0988
     -4.00   -0.040   0.0271  -0.1099
     -3.50    0.038   0.0258  -0.1169
     -2.50    0.170   0.0264  -0.1195
     -2.00    0.231   0.0260  -0.1214
     -1.50    0.301   0.0255  -0.1249
     -1.00    0.367   0.0252  -0.1277
     -0.50    0.427   0.0251  -0.1295
      0.00    0.495   0.0250  -0.1324
      0.50    0.561   0.0250  -0.1351
      1.00    0.617   0.0253  -0.1363
      1.50    0.680   0.0256  -0.1386
      2.00    0.743   0.0257  -0.1402
      2.50    0.795   0.0263  -0.1405
      3.00    0.844   0.0271  -0.1405
      3.50    0.898   0.0277  -0.1409
      4.00    0.959   0.0281  -0.1422
      4.50    1.012   0.0290  -0.1426
      5.00    1.049   0.0303  -0.1404
      5.50    1.099   0.0309  -0.1394
      6.00    1.145   0.0316  -0.1379
      6.50    1.182   0.0325  -0.1349
      7.00    1.210   0.0335  -0.1306
      7.50    1.237   0.0345  -0.1261
      8.00    1.251   0.0365  -0.1207
      8.50    1.272   0.0377  -0.1150
      9.00    1.271   0.0411  -0.1086
     10.00    1.256   0.0512  -0.1000
     10.50    1.253   0.0572  -0.0979
     11.00    1.254   0.0631  -0.0964
     11.50    1.255   0.0692  -0.0954
